model,emotion,precision_context_full_context,precision_context_test_context,precision_nocontext_full_context,precision_nocontext_test_context,recall_context_full_context,recall_context_test_context,recall_nocontext_full_context,recall_nocontext_test_context,f1_context_full_context,f1_context_test_context,f1_nocontext_full_context,f1_nocontext_test_context
mistral-nemo_latest,Sadness,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.11764705882352941,0.0
mistral-nemo_latest,Surprise,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.1,0.0
mistral-small3.2_latest,Anger,0.13793103448275862,0.0,0.15789473684210525,0.0,0.3333333333333333,0.0,0.125,0.0,0.1951219512195122,0.0,0.13953488372093023,0.0
mistral-small3.2_latest,Disgust,0.0,0.0,0.017543859649122806,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.03278688524590164,0.0
mistral-small3.2_latest,Fear,0.05555555555555555,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.09523809523809523,0.0,0.0,0.0
mistral-small3.2_latest,Happiness,0.2127659574468085,0.21428571428571427,0.3157894736842105,0.125,0.18867924528301888,0.2727272727272727,0.23076923076923078,0.09090909090909091,0.2,0.24,0.26666666666666666,0.10526315789473684
mistral-small3.2_latest,Neutral,0.9192751235584844,0.925,0.9234449760765551,0.8968253968253969,0.8378378378378378,0.8345864661654135,0.8706766917293233,0.849624060150376,0.8766692851531814,0.8774703557312253,0.8962848297213623,0.8725868725868726
mistral-small3.2_latest,Sadness,0.125,0.0,0.2,0.0,0.2,0.0,0.6,0.0,0.15384615384615385,0.0,0.3,0.0
mistral-small3.2_latest,Surprise,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.1,0.0
mistral_7b,Anger,0.14285714285714285,0.0,0.07692307692307693,0.0,0.041666666666666664,0.0,0.043478260869565216,0.0,0.06451612903225806,0.0,0.05555555555555555,0.0
mistral_7b,Disgust,0.0,0.0,0.25,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.2857142857142857,0.0
mistral_7b,Fear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mistral_7b,Happiness,0.2,0.0,0.5,1.0,0.018867924528301886,0.0,0.058823529411764705,0.1,0.034482758620689655,0.0,0.10526315789473684,0.18181818181818182
mistral_7b,Neutral,0.876010781671159,0.8648648648648649,0.8794520547945206,0.8827586206896552,0.975975975975976,0.9624060150375939,0.9654135338345865,0.9624060150375939,0.9232954545454546,0.9110320284697508,0.9204301075268817,0.920863309352518
mistral_7b,Sadness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mistral_7b,Surprise,0.0,0.0,0.5,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.125,0.0
mixtral_8x7b,Anger,0.1111111111111111,0.0,0.06666666666666667,0.0,0.041666666666666664,0.0,0.041666666666666664,0.0,0.06060606060606061,0.0,0.05128205128205128,0.0
mixtral_8x7b,Disgust,0.0,0.0,0.1,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.15384615384615385,0.0
mixtral_8x7b,Fear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixtral_8x7b,Happiness,0.10526315789473684,0.0,0.2631578947368421,0.3333333333333333,0.038461538461538464,0.0,0.09615384615384616,0.09090909090909091,0.056338028169014086,0.0,0.14084507042253522,0.14285714285714285
mixtral_8x7b,Neutral,0.8753424657534247,0.8561643835616438,0.8930099857346647,0.8661971830985915,0.9609022556390977,0.9398496240601504,0.9427710843373494,0.924812030075188,0.9161290322580645,0.8960573476702509,0.9172161172161172,0.8945454545454545
mixtral_8x7b,Sadness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixtral_8x7b,Surprise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phi4-mini_latest,Anger,0.09090909090909091,0.0,0.07692307692307693,0.0,0.041666666666666664,0.0,0.043478260869565216,0.0,0.05714285714285714,0.0,0.05555555555555555,0.0
phi4-mini_latest,Disgust,0.0,0.0,0.05405405405405406,0.1111111111111111,0.0,0.0,0.5,1.0,0.0,0.0,0.0975609756097561,0.2
phi4-mini_latest,Fear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phi4-mini_latest,Happiness,0.08333333333333333,0.0,0.15,0.0,0.038461538461538464,0.0,0.057692307692307696,0.0,0.05263157894736842,0.0,0.08333333333333333,0.0
phi4-mini_latest,Neutral,0.8930817610062893,0.8925619834710744,0.9158512720156555,0.9183673469387755,0.8541353383458646,0.8120300751879699,0.7037593984962406,0.6766917293233082,0.8731744811683321,0.8503937007874016,0.7959183673469388,0.7792207792207793
phi4-mini_latest,Sadness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phi4-mini_latest,Surprise,0.03571428571428571,0.14285714285714285,0.03888888888888889,0.05405405405405406,0.07142857142857142,0.25,0.5,0.5,0.047619047619047616,0.18181818181818182,0.07216494845360824,0.0975609756097561
phi4_14b,Anger,0.15625,0.2,0.125,0.0,0.20833333333333334,0.25,0.125,0.0,0.17857142857142858,0.2222222222222222,0.125,0.0
phi4_14b,Disgust,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.06060606060606061,0.0
phi4_14b,Fear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phi4_14b,Happiness,0.16666666666666666,0.17647058823529413,0.375,0.25,0.22641509433962265,0.2727272727272727,0.22641509433962265,0.18181818181818182,0.192,0.21428571428571427,0.2823529411764706,0.21052631578947367
phi4_14b,Neutral,0.9428571428571428,0.95,0.9117647058823529,0.8863636363636364,0.5945945945945946,0.5714285714285714,0.8843843843843844,0.8796992481203008,0.7292817679558011,0.7136150234741784,0.8978658536585366,0.8830188679245283
phi4_14b,Sadness,0.0,0.0,0.125,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.15384615384615385,0.0
