model_id,model,context,subset,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,accuracy,samples,hallucination_rate,coverage,hallucination_rate_inclusive,coverage_inclusive,total_expected,total_seen,missing_predictions
deepseek-r1_32b-nocontext-full,deepseek-r1_32b,nocontext,full,0.840169,0.859375,0.833119,0.450928,0.295996,0.292359,0.859375,768,0.0013,0.9987,0.0013,0.9987,769,769,0
mistral-small3.2_latest-nocontext-full,mistral-small3.2_latest,nocontext,full,0.831428,0.780965,0.803489,0.254477,0.306839,0.247896,0.780965,767,0.002601,0.997399,0.002601,0.997399,769,769,0
phi4_14b-nocontext-full,phi4_14b,nocontext,full,0.822298,0.790637,0.804489,0.239502,0.261237,0.234412,0.790637,769,0.0,1.0,0.0,1.0,769,769,0
gemma3_12b-nocontext-full,gemma3_12b,nocontext,full,0.825917,0.832241,0.820749,0.273226,0.241166,0.229327,0.832241,763,0.00651,0.99349,0.007802,0.992198,769,768,1
gemma3_27b-nocontext-full,gemma3_27b,nocontext,full,0.822516,0.849802,0.828579,0.257303,0.221584,0.215222,0.849802,759,0.003937,0.996063,0.013004,0.986996,769,762,7
mistral_7b-nocontext-full,mistral_7b,nocontext,full,0.811328,0.848168,0.813271,0.315196,0.210354,0.213138,0.848168,764,0.006502,0.993498,0.006502,0.993498,769,769,0
qwen3_30b-nocontext-full,qwen3_30b,nocontext,full,0.815735,0.848958,0.818654,0.287239,0.206333,0.212811,0.848958,768,0.0013,0.9987,0.0013,0.9987,769,769,0
qwen3_14b-nocontext-full,qwen3_14b,nocontext,full,0.806131,0.836151,0.817221,0.203152,0.292627,0.206121,0.836151,769,0.0,1.0,0.0,1.0,769,769,0
llama4_latest-nocontext-full,llama4_latest,nocontext,full,0.794344,0.836387,0.811262,0.215561,0.219936,0.20309,0.836387,764,0.006502,0.993498,0.006502,0.993498,769,769,0
mistral-nemo_latest-nocontext-full,mistral-nemo_latest,nocontext,full,0.81722,0.737321,0.767411,0.249862,0.297857,0.200184,0.737321,769,0.0,1.0,0.0,1.0,769,769,0
deepseek-r1_14b-nocontext-full,deepseek-r1_14b,nocontext,full,0.793857,0.849279,0.815521,0.209044,0.193519,0.189881,0.849279,763,0.007802,0.992198,0.007802,0.992198,769,769,0
mixtral_8x7b-nocontext-full,mixtral_8x7b,nocontext,full,0.797566,0.82962,0.810023,0.188976,0.201989,0.180456,0.82962,763,0.007802,0.992198,0.007802,0.992198,769,769,0
gpt-oss_20b-nocontext-full,gpt-oss_20b,nocontext,full,0.845845,0.875193,0.856821,0.211798,0.162898,0.171795,0.875193,649,0.0,1.0,0.156047,0.843953,769,649,120
phi4-mini_latest-nocontext-full,phi4-mini_latest,nocontext,full,0.808578,0.627937,0.700127,0.176531,0.257847,0.15779,0.627937,766,0.003901,0.996099,0.003901,0.996099,769,769,0
llama3.1_latest-nocontext-full,llama3.1_latest,nocontext,full,0.841356,0.407022,0.536587,0.186913,0.205309,0.14319,0.407022,769,0.0,1.0,0.0,1.0,769,769,0
deepseek-r1_8b-nocontext-full,deepseek-r1_8b,nocontext,full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.973753,0.026247,0.986996,0.013004,769,381,388
